last_modified,battery_voltage,input_voltage,output_voltage,input_frequency,max_output_current_percentage,temp,kmeans_anomaly,kmeans_score,failure_kmeans
2025-07-18 10:36:00,11.8,224.6291305,222.0032924,43.14945556,96.0,37.8,1.0,3.7587643319829245,Normal
2025-07-18 10:27:00,11.8,278.8160599,210.1735259,30.55031698,97.0,38.1,1.0,3.5934274534617043,Normal
2025-07-18 15:29:00,11.2,220.0,225.0,50.0,60.0,53.27210903,1.0,3.9667794603732003,Normal
2025-07-18 10:31:00,11.2,220.0,225.0,50.0,60.0,15.62989799,1.0,4.645391958903509,Normal
2025-07-18 20:27:00,11.1,220.0,225.0,50.0,60.0,16.58265117,1.0,4.245896038320283,Normal
2025-07-18 14:52:00,11.0,220.0,225.0,50.0,60.0,27.97542021,1.0,4.395460314529189,Normal
2025-07-18 04:46:00,11.2,220.0,225.0,50.0,60.0,14.38087723,1.0,4.1861416461814684,Normal
2025-07-18 00:21:00,11.1,220.0,225.0,50.0,60.0,10.92760024,1.0,5.025936243132118,Normal
2025-07-18 05:28:00,11.0,220.0,225.0,50.0,60.0,10.02141699,-1.0,6.938696847031754,Unknown Anomaly
2025-07-18 20:21:00,10.9,220.0,225.0,50.0,60.0,16.35918551,-1.0,7.1264378760465945,Unknown Anomaly
2025-07-18 20:26:00,10.8,220.0,225.0,50.0,60.0,31.40581239,-1.0,7.665726273766136,Unknown Anomaly
2025-07-18 00:21:00,10.7,220.0,225.0,50.0,60.0,11.25798663,1.0,4.612404136663325,Normal
2025-07-18 10:13:00,10.6,220.0,225.0,50.0,60.0,38.0,1.0,4.739790059140279,Normal
2025-07-18 10:27:00,10.5,220.0,225.0,50.0,60.0,19.47761633,1.0,4.619666246193941,Normal
2025-07-18 16:03:00,10.4,220.0,225.0,50.0,60.0,13.51735701,1.0,4.72237153737355,Normal
2025-07-18 14:50:00,10.3,220.0,225.0,50.0,60.0,29.45858335,1.0,4.7033615953848695,Normal
2025-07-18 05:00:00,10.4,220.0,225.0,50.0,60.0,11.09352167,1.0,4.785743907885787,Normal
2025-07-18 20:03:00,10.3,220.0,225.0,50.0,60.0,53.81435559,1.0,3.3684107509172896,Normal
2025-07-18 20:20:00,6.965144688,158.8450061,168.0776622,61.50311648,0.0,49.93238348,-1.0,7.232614691138132,Unknown Anomaly
2025-07-18 15:33:00,7.562210497,283.8057981,227.3204434,61.8693631,42.13853159,48.99947044,-1.0,5.889492781085691,Unknown Anomaly
2025-07-18 15:37:00,11.10254698,286.1079989,256.9198087,30.31661194,141.3320182,52.09969541,1.0,4.712129321696131,Normal
2025-07-18 14:58:00,7.27895001,109.435516,129.2467196,68.32958121,127.1123875,58.00629348,1.0,4.475793520064362,Normal
2025-07-18 15:05:00,12.0,230.0,250.0,30.52604078,0.0,44.43481406,1.0,4.110747165271897,Normal
2025-07-18 05:16:00,12.0,230.0,190.0,60.43936092,0.0,12.0199311,1.0,4.100974554821824,Normal
2025-07-18 15:23:00,12.0,230.0,250.0,32.05188104,0.0,47.76954968,1.0,4.433648051473752,Normal
2025-07-18 14:50:00,12.0,230.0,250.0,58.45650084,131.7234951,15.40260658,1.0,4.140348171364085,Normal
2025-07-18 14:54:00,12.0,230.0,190.0,34.64962931,108.0059158,16.94088183,1.0,4.081329386263661,Normal
2025-07-18 00:09:00,15.44853149,133.801097,136.5200685,43.22075924,140.1444133,10.78582851,1.0,3.7546605463350704,Normal
2025-07-18 00:21:00,7.750911948,108.9901141,154.8986019,36.23212927,106.2535652,53.062445,-1.0,5.937637413759607,Input Frequency Fault
2025-07-18 10:40:00,8.597884645,282.5991007,263.4176986,52.74493131,0.0,44.04035755,1.0,5.70680288989179,Normal
2025-07-18 10:24:00,8.851683799,114.7073815,253.5521905,61.84805497,0.0,57.44661395,1.0,4.090191187785536,Normal
2025-07-18 00:30:00,11.2,220.0,225.0,50.0,60.0,36.0,1.0,3.9053852008881527,Normal
2025-07-18 10:23:00,11.1,220.0,225.0,50.0,60.0,36.9,1.0,2.927468235319742,Normal
2025-07-18 04:55:00,11.2,220.0,225.0,50.0,60.0,37.2,1.0,2.789076279110979,Normal
2025-07-18 20:27:00,11.1,220.0,225.0,50.0,60.0,40.34578133,1.0,2.694161514229961,Normal
2025-07-18 00:33:00,11.0,220.0,225.0,50.0,60.0,10.47377422,1.0,2.600148699134501,Normal
2025-07-18 15:27:00,10.9,220.0,225.0,50.0,60.0,17.03306283,1.0,2.810437192888522,Normal
2025-07-18 19:55:00,10.8,220.0,225.0,50.0,60.0,30.64123727,1.0,4.115446529300226,Normal
2025-07-18 20:03:00,11.2,220.0,225.0,50.0,60.0,10.50494542,-1.0,6.011315401693165,Unknown Anomaly
2025-07-18 15:23:00,11.2,220.0,225.0,50.0,60.0,16.76661455,-1.0,7.471789486063139,Unknown Anomaly
2025-07-18 05:23:00,11.1,220.0,225.0,50.0,60.0,10.68701021,1.0,3.5626093878589926,Normal
2025-07-18 15:39:00,11.2,220.0,225.0,50.0,60.0,32.70307873,1.0,3.5758719946148734,Normal
2025-07-18 04:59:00,11.2,220.0,225.0,50.0,60.0,36.0,1.0,3.6035320449250565,Normal
2025-07-18 20:41:00,11.1,220.0,225.0,50.0,60.0,37.2,1.0,3.582732283314965,Normal
2025-07-18 19:51:00,11.0,220.0,225.0,50.0,60.0,37.8,1.0,3.8520756811833787,Normal
2025-07-18 09:53:00,10.9,220.0,225.0,50.0,60.0,38.1,1.0,3.3494739895273966,Normal
2025-07-18 05:08:00,10.8,220.0,225.0,50.0,60.0,38.4,1.0,3.1934368823200243,Normal
2025-07-18 20:07:00,10.7,220.0,225.0,50.0,60.0,38.7,1.0,3.1949032168471234,Normal
2025-07-18 00:41:00,10.6,220.0,225.0,50.0,60.0,29.71563921,1.0,3.440782189428486,Normal
2025-07-18 10:27:00,10.5,220.0,225.0,50.0,60.0,54.31122158,1.0,2.605980702386439,Normal
2025-07-18 04:59:00,10.4,220.0,225.0,50.0,60.0,41.55727718,1.0,4.287028875104553,Normal
2025-07-18 14:58:00,10.3,220.0,225.0,50.0,60.0,18.36292887,1.0,2.082459443244842,Normal
2025-07-18 00:00:00,6.482939474,161.7722803,119.5254855,41.15584757,0.0,47.82110079,-1.0,7.473897017244037,Battery Degradation
2025-07-18 00:29:00,11.0,220.0,255.3673288,60.36110058,60.0,15.35880302,-1.0,6.297133189694309,Output Voltage Issue
2025-07-18 19:50:00,10.95,220.0,238.3660197,52.05689251,60.0,32.54930389,-1.0,6.283392550602172,Unknown Anomaly
2025-07-18 09:55:00,10.85,220.0,191.680818,62.54978093,60.0,32.58265031,-1.0,6.434264627666285,Output Voltage Issue
2025-07-18 15:44:00,10.8,220.0,217.3405943,49.3086032,60.0,19.56829844,-1.0,6.432396622744405,Unknown Anomaly
2025-07-18 04:45:00,10.75,220.0,235.5003295,63.07092551,60.0,33.43445474,-1.0,6.66838576990028,Unknown Anomaly
2025-07-18 09:56:00,10.65,220.0,261.177194,36.89617078,60.0,47.42931364,-1.0,6.685042241009358,Output Voltage Issue
2025-07-18 10:06:00,10.6,220.0,224.778998,67.53267207,60.0,26.165169,-1.0,7.065030431508499,Unknown Anomaly
2025-07-18 04:50:00,6.420110972,107.6753533,131.0571582,49.99560762,129.623646,14.98411801,1.0,5.221928079361588,Normal
2025-07-18 14:51:00,15.03478155,272.4181958,232.0492696,59.49160762,0.0,52.88903638,1.0,3.3689625911072287,Normal
2025-07-18 00:19:00,15.23353674,160.9093298,277.2560207,40.93098819,90.4510941,47.916249,1.0,3.348792005871906,Normal
2025-07-18 10:27:00,6.47005629,290.6704386,154.8480892,33.18035151,148.3255644,52.81920732,1.0,2.3290372962652386,Normal
2025-07-18 00:30:00,11.2,220.0,225.0,50.0,60.0,47.97060177,1.0,2.416905399370144,Normal
2025-07-18 15:03:00,11.2,220.0,225.0,50.0,60.0,14.61934174,1.0,2.6134356049214595,Normal
2025-07-18 00:23:00,11.1,220.0,225.0,50.0,60.0,31.39978026,1.0,2.5023501547721283,Normal
2025-07-18 05:09:00,11.0,220.0,225.0,50.0,60.0,19.95600052,1.0,2.7384653489901583,Normal
2025-07-18 05:18:00,10.9,220.0,225.0,50.0,60.0,15.53897128,1.0,2.737191249102072,Normal
2025-07-18 05:01:00,10.8,220.0,225.0,50.0,60.0,27.84612774,1.0,3.039168952753818,Normal
2025-07-18 20:35:00,10.7,220.0,225.0,50.0,60.0,29.09474106,1.0,3.4194863962613864,Normal
2025-07-18 20:30:00,10.6,220.0,225.0,50.0,60.0,57.415581,1.0,5.407664870422442,Normal
2025-07-18 05:30:00,10.5,220.0,225.0,50.0,60.0,13.76194563,-1.0,7.601873080067384,Unknown Anomaly
2025-07-18 00:31:00,10.4,220.0,225.0,50.0,60.0,41.52211938,1.0,1.7881095618739407,Normal
2025-07-18 19:45:00,10.3,220.0,225.0,50.0,60.0,18.55631723,1.0,2.7280687575889453,Normal
2025-07-18 05:25:00,7.121855301,138.3860095,178.3575899,30.90460051,0.0,48.62563399,-1.0,7.315139477920928,Battery Degradation
2025-07-18 19:57:00,8.350237355,133.9156223,153.6786004,66.46521406,0.0,48.62060766,1.0,5.649361673137721,Normal
2025-07-18 10:22:00,6.550137149,168.8714334,151.3698785,47.06742102,67.63605956,54.42293436,1.0,5.447658769999363,Normal
